,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
United States demand,418.7,423.9192223549,429.0384447098,434.1576670647,439.2768894196,444.3961117745,444.3961117745,444.3961117745,444.3961117745,444.3961117745,444.3961117745,444.3961117745,417.6691538828426,422.8322585220755,430.3751964721763,427.72427993616117,430.15826992644014,440.88684407693614,480.5598724943701,506.5719395367882,535.0905493799332,560.0823968176821,559.324032870403,608.3043596687071,616.9932276803033,599.0894639556888,569.8842063763499,530.6497876717933,551.103403844406,544.1505372970132
United States supply,2818.0,2818.0,2818.0,2818.0,2818.0,2818.0,2818.0,2818.0,2818.0,2818.0,2818.0,2818.0,2842.0763588262457,2700.9022078236176,2710.1437768559485,2547.2185215914556,2600.631189514558,2795.9137765546448,2906.317258611293,3009.7907990632816,2801.060201077032,2855.763125379421,2848.282516081982,2961.5933454228802,3077.8673307356,3181.232419261907,3124.140679298573,3045.6860043115535,2745.1394128951583,2728.2882437625954
United Kingdom demand,8.264,7.685,8.017,7.651,7.285,8.16,8.419,8.419,8.419,8.419,8.419,8.419,8.062929820862912,8.712209513436818,8.403878386918358,8.10512263959143,7.470847088750878,6.974115627443091,6.958643459950188,6.9866263397690505,7.168264531708868,7.318581929968608,7.458442365034464,8.302436681869107,8.40579297974865,8.537249822415998,8.282316389787692,8.733338082208743,8.939671728778661,8.719410515579249
United Kingdom supply,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,147.1856949188433,155.89814967890496,172.91033074782845,187.3258802165048,187.21812415151857,184.07318150991966,182.53203850265285,185.65247028525425,185.8475995368229,189.43313819139547,192.65207442451006,200.9045484178853,198.4206684591682,201.0112818810488,198.17416261935213,204.1176391162075,196.3055623871331,198.29357375680166
Canada demand,37.19865,35.6,36.44,37.28,36.505,35.73,35.9915,36.253,36.253,36.253,36.253,36.253,34.61794101478425,35.05446927574142,35.54799119481607,35.98626124030946,36.99560502229484,41.09200288162072,40.638661279770325,39.14048475727764,37.18978061573121,39.4836941985943,37.67027795936097,36.41128498665034,36.878419698689775,37.058569971058844,35.61105688601556,34.36485018647064,34.27108829819799,32.34077664121484
Canada supply,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2835.396500033382,3074.408355146199,2978.368763412282,2947.624410774347,3040.778207184028,2917.57072400895,3179.3415803338276,3212.6271750286287,3178.664510887372,3170.0128033637347,3245.147477372959,3128.9758294623803,3340.0085114017375,3222.0576892377635,3214.143288108601,2949.5689366571787,3152.7872641180493,3284.9280079814985
Total Supply,5813.0,5813.0,5813.0,5813.0,5813.0,5813.0,5813.0,5813.0,5813.0,5813.0,5813.0,5813.0,5824.658553778471,5931.208712648721,5861.422871016059,5682.168812582307,5828.627520850104,5897.557682073514,6268.190877447773,6408.070444377164,6165.572311501227,6215.209066934552,6286.082067879452,6291.473723303146,6616.296510596505,6604.301390380719,6536.458130026527,6199.37258008494,6094.23223940034,6211.509825500895
Total Demand,464.16265,467.2042223549,473.4954447098,479.0886670647,483.06688941960005,488.28611177450006,488.80661177449997,489.0681117745,489.0681117745,489.0681117745,489.0681117745,489.0681117745,460.35002471848975,466.59893731125374,474.3270660539107,471.8156638160621,474.62472203748587,488.95296258599996,528.1571772340906,552.6990506338349,579.4485945273733,606.884672946245,604.4527531947984,653.0180813372266,662.2774403587417,644.6852837491637,613.7775796521531,573.7479759404728,594.3141638713827,585.2107244538073
Ratio,12.52362722420686,12.442096457733422,12.276781255124265,12.133453365981971,12.033530194926547,11.904905463878022,11.892228664619001,11.885870004708595,11.885870004708595,11.885870004708595,11.885870004708595,11.885870004708595,12.6526734897871,12.711577842047667,12.357344310497064,12.043196630278699,12.280497096377038,12.061605375867247,11.868040703855808,11.594140494774495,10.640412919683014,10.24116993556874,10.399625172777766,9.634455619390653,9.990218762415637,10.244225449002714,10.649555061510949,10.805044793270232,10.254226821219108,10.614142164428484
